Número,Código de neurona,Zona,Condición,Vresting,Reobase,Input Resistance,No PA en 80pA,Half-Wide 1ºPA,Max Rise Repol,Max Rise Depol,V max,V thr,I al holding,Sweep para 80pA,Sweep para 100pA
1,220722a,GD,CONTROL,-94,48.73,575.5,3,2.103808641,-39.8,176,50.7,-55,20,11,12
3,190822a,GD,CONTROL,-76,71,541.7,2,2.237569332,-42,176,56,-43.7,-10,10,11
4,250822,GD,CONTROL,-84,68.37,796.9,4,1.584900379,-55.7,241,61.3,-43.3,-10,10,11
5,090922b,Probl_GD,CONTROL,-80,94.73,397,0,2.02553606,-35.3,145.8,45.5,-43,0,10,11
6,160922b,Probl_GD,CONTROL,-71,58.53,309.3,2,1.363663554,-40.7,233,57.3,-49,-20,9,10
7,211022b,GD,CONTROL,-75,43.37,278.3,5,1.468685865,-59.7,204,43.7,-55.3,0,10,11
8,271022b,GD,CONTROL,-80,46.88,378.2,6,1.484186649,-63.7,280.3,56.3,-52,0,10,11
9,281022b,Probl_GD,CONTROL,-80,29.47,442.6,9,1.129980564,-67.7,128,47,-45.8,0,10,11
10,281022c,GD,CONTROL,-90,41.54,506.4,11,1.194972038,-80.8,256.3,53.7,-50.7,20,11,12
12,041122c,Probl_GD,MTK 1µM,-85,100.3,337.2,0,1.044321537,-98.1,280.4,66.3,-42,10,10,11
13,251122a,Probl_GD,MTK 1µM,-70,79.12,490,1,1.148133397,-70,186,44.3,-42.8,-20,9,10
15,161222a,GD,MTK 1µM,-65,67.61,303,1,1.065508366,-92.1,207.5,54.3,-46.3,-20,9,10
17, 221222e,GD,MTK 1µM AD,-86,53.35,484,11,1.13904798,-57,155,31.5,-49.8,0,10,11
18,221222f,GD,MTK 1µM AD,-87,116.6,433.3,6,0.983182013,-105,303,64,-42.3,0,10,11
25,050123b,GD,CONTROL,-73,64.33,651.5,6,1.403528094,-55.4,136.5,43,-33.2,-10,10,11
28,120123a,GD,MTK 1µM,-84,75.81,285.2,1,1.022022247,-87,306,70.3,-39,0,10,11
29,160123a,GD,MTK 1µM AD,-80,82.45,445.4,4,0.850251138,-124.6,273.8,63.7,-42,0,10,11
30,160123b,GD,MTK 1µM,-87,75.33,415.7,1,0.990406215,-107.3,302,60,-45.3,0,10,11
31,160123e,GD,MTK 1µM AD,-63,49.79,311.5,7,1.065020919,-100.5,321.5,63.7,-52.3,-50,8,9
32,160123f,GD,MTK 1µM,-85,122.7,318.4,0,1.161882401,-96,285.6,65.3,-39,0,10,11
34,190123,Probl_GD,MTK 1µM,-70,79.2,402.2,0,1.028398752,-93.1,224.2,52.7,-46.7,-40,9,10
35,250123b,Probl_GD,MTK 1µM,-68,110,300.9,0,1.268061876,-91.8,271.7,66.3,-41.7,-30,9,10
37,250123d,GD,MTK 1µM,-75,94.49,263.4,0,1.291084647,-81.5,329.5,69.7,-47.7,-30,9,10
44,300323b,GD,MTK 1µM AD,-82,40.34,710.7,7,0.851809919,-131,312,65.7,-45.4,0,10,11
62,200423d,GD,CONTROL,-83,65.26,278.3,2,1.458665848,-61.7,270,67.7,-46.1,0,10,11
